Time;SENS4_FZ
0;0,007371
0,0009584;0,009142
0,0021765;0,010307
0,0033946;0,01124
0,0046126;0,011824
0,0055343;0,012244
0,0064561;0,012483
0,0073778;0,012636
0,0085959;0,012959
0,0098139;0,013299
0,011032;0,013597
0,01225;0,013845
0,013085;0,014041
0,01392;0,014239
0,014756;0,014438
0,015974;0,014686
0,017192;0,014761
0,01841;0,014947
0,019628;0,015244
0,020463;0,01552
0,021298;0,015733
0,022133;0,015936
0,023351;0,016161
0,024569;0,016296
0,025788;0,016352
0,027006;0,016597
0,027841;0,016733
0,028676;0,016807
0,029511;0,016933
0,030729;0,016958
0,03177;0,017117
0,032604;0,016979
0,033365;0,01712
0,03454;0,01743
0,035714;0,017614
0,036889;0,017634
0,037873;0,017727
0,038922;0,018079
0,039852;0,018209
0,040825;0,018366
0,041972;0,018566
0,042737;0,018658
0,043502;0,018809
0,044267;0,018931
0,045165;0,018842
0,04596;0,018852
0,046771;0,019009
0,047751;0,019413
0,0486;0,019476
0,049608;0,01964
0,050287;0,01975
0,050966;0,019844
0,051644;0,01979
0,052791;0,019998
0,053896;0,020135
0,054599;0,020139
0,055483;0,02028
0,056448;0,020355
0,057219;0,020468
0,05782;0,020529
0,058221;0,020701
0,058621;0,020849
0,059022;0,021055
0,059732;0,020972
0,060428;0,021108
0,061103;0,021199
0,061683;0,021315
0,062221;0,021423
0,062706;0,021586
0,063148;0,021484
0,063538;0,023925
0,063876;0,024322
0,06423;0,024312
0,064519;0,024602
0,064995;0,025454
0,065698;0,028097
0,0664;0,028257
0,067117;0,028982
0,067952;0,029276
0,068731;0,030376
0,069398;0,031402
0,070028;0,031779
0,071101;0,032038
0,071994;0,032824
0,072886;0,033084
0,073778;0,033897
0,074826;0,034447
0,075752;0,035303
0,076689;0,035709
0,077753;0,036652
0,078816;0,037355
0,079596;0,037847
0,080116;0,038659
0,080636;0,039211
0,081156;0,040011
0,082097;0,040461
0,082917;0,04104
0,083824;0,041596
0,084513;0,042493
0,085063;0,043047
0,085786;0,043541
0,086423;0,043817
0,086946;0,044329
0,087475;0,044791
0,088004;0,045112
0,088533;0,045235
0,089124;0,045854
0,089501;0,046428
0,089997;0,046879
0,09077;0,047297
0,091475;0,047896
0,092095;0,04855
0,09262;0,048534
0,092994;0,048702
0,093299;0,049083
0,093522;0,051749
0,094053;0,055817
0,094543;0,05744
0,094999;0,058598
0,095455;0,059495
0,095911;0,06088
0,096567;0,061791
0,09725;0,062951
0,097933;0,064079
0,098356;0,065299
0,098901;0,066274
0,099268;0,066947
0,099634;0,067592
0,1;0,068675
0,10032;0,06955
0,10059;0,070295
0,10083;0,070556
0,10104;0,071587
0,10135;0,072193
0,10167;0,073557
0,10221;0,075292
0,10275;0,076659
0,10329;0,077639
0,10333;0,079519
0,10389;0,081973
0,10444;0,084502
0,105;0,087949
0,10552;0,090908
0,1059;0,093745
0,10628;0,095742
0,10648;0,096901
0,10667;0,097845
0,10696;0,10743
0,1073;0,12128
0,10759;0,13644
0,10784;0,14661
0,10809;0,15809
0,10833;0,16959
0,10861;0,18445
0,10881;0,19495
0,10892;0,20125
0,10901;0,2092
0,10911;0,22224
0,10926;0,2353
0,1094;0,24952
0,10953;0,26474
0,10965;0,27896
0,10975;0,28717
0,10984;0,29663
0,10992;0,30561
0,11;0,31417
0,11008;0,31835
0,11016;0,32654
0,11022;0,33424
0,1103;0,33879
0,11036;0,34225
0,11043;0,34628
0,1105;0,34905
0,11056;0,35419
0,11061;0,35554
0,11067;0,35554
