Time;SENS3_FZ
0;0,011679
0,00096706;0,014508
0,0021851;0,016203
0,0034032;0,017614
0,0046213;0,018626
0,0055623;0,01939
0,0065034;0,019827
0,0074444;0,020394
0,0086625;0,020717
0,0098806;0,021096
0,011099;0,021449
0,012317;0,021919
0,013174;0,022162
0,014032;0,022598
0,014889;0,022786
0,016107;0,023126
0,017325;0,023509
0,018543;0,023897
0,019761;0,024229
0,020619;0,024404
0,021476;0,024674
0,022333;0,02509
0,023551;0,025243
0,024769;0,02542
0,025988;0,025574
0,027187;0,025999
0,028051;0,026191
0,028914;0,026259
0,029778;0,026437
0,030996;0,026833
0,032214;0,027077
0,033364;0,027285
0,034582;0,027644
0,035462;0,027858
0,036342;0,028095
0,037222;0,028314
0,038026;0,028627
0,038729;0,028697
0,039379;0,028929
0,040597;0,029068
0,041815;0,029409
0,042737;0,029791
0,04338;0,030009
0,044023;0,030053
0,044667;0,030041
0,045497;0,030438
0,046265;0,030587
0,046951;0,030833
0,047658;0,030984
0,0484;0,031165
0,048849;0,03118
0,049297;0,031292
0,049615;0,031332
0,049917;0,031531
0,0505;0,031688
0,051306;0,031977
0,052111;0,032043
0,05291;0,03227
0,053638;0,03233
0,054348;0,032734
0,055015;0,032923
0,055971;0,033205
0,056575;0,033286
0,057215;0,033428
0,057665;0,0336
0,05821;0,033864
0,05857;0,034109
0,059063;0,034032
0,059556;0,033895
0,060174;0,034139
0,060965;0,03449
0,061854;0,034701
0,062593;0,034967
0,063358;0,038009
0,064117;0,039084
0,065052;0,039699
0,065701;0,041683
0,066351;0,042735
0,067;0,043956
0,068192;0,046331
0,069341;0,047154
0,070507;0,047631
0,071672;0,049308
0,072498;0,050006
0,073147;0,050567
0,073796;0,05108
0,074444;0,051317
0,075573;0,052568
0,076715;0,053322
0,077838;0,054685
0,078823;0,055764
0,079686;0,056774
0,080421;0,057695
0,08091;0,057668
0,081399;0,058413
0,081889;0,059194
0,082664;0,060336
0,083349;0,061238
0,084297;0,062178
0,085071;0,062689
0,085541;0,063064
0,086146;0,0634
0,086549;0,063763
0,086944;0,064294
0,087292;0,064236
0,087599;0,064707
0,088177;0,064866
0,088755;0,065621
0,089333;0,06608
0,089844;0,066256
0,090259;0,066676
0,090622;0,067042
0,090927;0,067403
0,091193;0,067848
0,091403;0,068101
0,09158;0,068292
0,092;0,068756
0,092513;0,069531
0,093003;0,07195
0,093778;0,07381
0,094531;0,074443
0,095224;0,075469
0,095742;0,076369
0,09626;0,077137
0,096778;0,078072
0,097412;0,078933
0,098104;0,080409
0,098736;0,081609
0,099368;0,082949
0,1;0,084478
0,10056;0,085998
0,10111;0,087783
0,10167;0,08902
0,10222;0,090709
0,10278;0,092197
0,10333;0,093387
0,10378;0,094767
0,10422;0,096019
0,10461;0,096815
0,105;0,097982
0,10547;0,099701
0,10587;0,10113
0,10627;0,10272
0,10667;0,10442
0,10695;0,10745
0,10741;0,11024
0,10787;0,1229
0,10833;0,14355
0,10882;0,16083
0,10921;0,17528
0,10948;0,19001
0,10965;0,20183
0,10983;0,21235
0,11;0,22552
0,11022;0,24461
0,11042;0,27001
0,11056;0,28792
0,11068;0,30181
0,1108;0,31349
0,1109;0,32511
0,111;0,33202
0,11109;0,34074
0,11118;0,34876
0,11126;0,35691
0,11133;0,36269
0,1114;0,36815
0,11146;0,37169
0,11153;0,37731
0,1116;0,38379
0,11167;0
